id|name|year|budget|popularity|runtime|vote_average|poster_path|production_countries|overview|genres
862|Toy Story|1995|30000000|21.946943|81|7.7|/rhIRbceoE9lR4veEXuwCC2wARtG.jpg|[{'code': 'US', 'name': 'United States of America'}]|Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.|[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]
8844|Jumanji|1995|65000000|17.015539|104|6.9|/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg|[{'code': 'US', 'name': 'United States of America'}]|When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.|[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 10751, "name": "Family"}]
31357|Waiting to Exhale|1995|16000000|3.859495|127|6.1|/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg|[{'code': 'US', 'name': 'United States of America'}]|Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive 'good man' to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.|[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]
949|Heat|1995|60000000|17.924927|170|7.7|/zMyfPUelumio3tiDKPffaUpsQTD.jpg|[{'code': 'US', 'name': 'United States of America'}]|Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.|[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]
